name,v_nom,x,y,carrier,zone_id
105,380,9.387651257,51.64073353,AC,DE_0
106,220,10.64146771,53.91916269,AC,DE_0
107,380,9.291400749,54.75105505,AC,DE_0
108,380,10.38594116,51.0018133,AC,DE_0
109,380,10.36338423,47.73833681,AC,DE_0
110,380,6.897071409,52.22585931,AC,DE_0
111,380,11.36889996,48.2017077,AC,DE_0
112,380,7.472266857,47.64661034,AC,DE_0
113,380,12.25885958,48.59632145,AC,DE_0
114,380,6.71216843,49.76758905,AC,DE_0
115,220,12.49936597,52.40522843,AC,DE_0
116,380,7.52901252,51.99876934,AC,DE_0
117,380,12.26217349,51.74102028,AC,DE_0
118,220,8.081626706,52.85863748,AC,DE_0
119,380,11.89426614,51.40570314,AC,DE_0
120,380,8.654622717,49.32722216,AC,DE_0
121,380,10.99796577,50.54047098,AC,DE_0
122,380,7.076248876,49.37340366,AC,DE_0
123,380,13.326405,50.34637219,AC,DE_0
124,380,11.81070255,50.18376553,AC,DE_0
125,380,7.051851394,51.62535931,AC,DE_0
126,380,11.51655497,51.58435921,AC,DE_0
127,220,13.0786421,54.28484617,AC,DE_0
128,380,11.12285456,50.99890907,AC,DE_0
129,380,6.949483972,53.12353782,AC,DE_0
130,220,12.13019063,47.91316548,AC,DE_0
131,380,9.562823374,48.70148982,AC,DE_0
132,380,12.18680134,54.11826106,AC,DE_0
133,380,11.72735342,52.56894699,AC,DE_0
134,380,13.38232338,51.35599616,AC,DE_0
135,380,6.802023938,51.10320502,AC,DE_0
136,380,8.345504017,51.99769962,AC,DE_0
137,380,11.85310571,53.08654448,AC,DE_0
138,380,9.25938382,51.06036685,AC,DE_0
139,380,6.6902877,51.3220178,AC,DE_0
140,220,7.715355642,51.34395865,AC,DE_0
141,220,8.945631286,52.23590371,AC,DE_0
142,220,12.47724652,50.75312008,AC,DE_0
143,380,8.065737966,50.40606811,AC,DE_0
144,380,6.276941785,49.19774007,AC,DE_0
145,380,10.83601575,49.92806739,AC,DE_0
146,380,10.16175496,52.30429505,AC,DE_0
147,220,8.20641619,48.80010977,AC,DE_0
148,220,7.729201979,49.48264743,AC,DE_0
149,380,10.84086956,48.23803101,AC,DE_0
150,380,8.460526802,49.69803306,AC,DE_0
151,380,9.694656355,49.23259254,AC,DE_0
152,380,8.719895569,51.71826093,AC,DE_0
153,380,10.98828312,52.18478765,AC,DE_0
154,380,9.068791058,53.56664141,AC,DE_0
155,220,9.141562399,52.85013672,AC,DE_0
156,380,6.696666894,51.52380683,AC,DE_0
157,380,7.420352159,51.44566416,AC,DE_0
158,380,7.114332635,50.68628481,AC,DE_0
159,220,6.221831446,51.69464564,AC,DE_0
160,220,9.867098936,51.58232137,AC,DE_0
161,380,9.172968622,49.10811856,AC,DE_0
162,380,12.11476441,49.63115505,AC,DE_0
163,220,7.215145634,53.3456232,AC,DE_0
164,380,9.746150816,50.91683995,AC,DE_0
165,380,11.84984849,48.2116241,AC,DE_0
166,380,9.383027529,48.73289088,AC,DE_0
167,380,8.757592814,53.09996219,AC,DE_0
168,220,8.953681213,49.56744317,AC,DE_0
169,380,14.21922829,51.12070799,AC,DE_0
170,380,8.488519065,49.23269449,AC,DE_0
171,380,8.476842774,53.42854071,AC,DE_0
172,220,9.52257597,52.36040906,AC,DE_0
173,220,6.111635794,49.72252464,AC,DE_0
174,380,7.971482826,51.67674025,AC,DE_0
175,380,11.6441811,51.90851287,AC,DE_0
176,220,13.44285419,48.43454636,AC,DE_0
177,380,10.08321996,48.26794173,AC,DE_0
178,220,9.594301589,49.79844273,AC,DE_0
179,380,6.47473977,49.9224693,AC,DE_0
180,380,8.053670741,53.33282878,AC,DE_0
181,380,8.992792404,51.3430094,AC,DE_0
182,220,8.403141436,52.60964401,AC,DE_0
183,380,9.229979384,51.81128623,AC,DE_0
184,380,13.14339291,53.90814698,AC,DE_0
185,380,5.918527345,51.14842639,AC,DE_0
186,380,8.211705976,51.17798548,AC,DE_0
187,380,8.31106945,49.01467259,AC,DE_0
188,220,12.24283692,50.56745317,AC,DE_0
189,220,12.15040162,49.01275181,AC,DE_0
190,380,9.908847528,53.48804664,AC,DE_0
191,380,7.863945714,50.76824191,AC,DE_0
192,380,8.77244296,49.97466867,AC,DE_0
193,380,8.785793025,48.5837674,AC,DE_0
194,380,11.37063737,53.60099108,AC,DE_0
195,380,7.444153231,50.41385829,AC,DE_0
196,220,12.74744423,48.14875584,AC,DE_0
197,220,10.19493344,47.97093688,AC,DE_0
198,380,7.277153913,52.75324259,AC,DE_0
199,380,8.967950354,52.39131061,AC,DE_0
