datetime,lignite,hard coal,natural gas,oil,biomass,co2,natural_gas_co2_factor,oil_co2_factor,lignite_co2_factor,hard_coal_co2_factor
3/28/2023 13:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 14:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 15:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 16:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 17:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 18:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 19:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 20:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 21:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 22:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/28/2023 23:00,5,25,35,60,25,89.32,0.2,0.26,0.34,0.34
3/29/2023 0:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 1:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 2:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 3:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 4:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 5:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 6:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 7:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 8:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 9:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 10:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 11:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 12:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 13:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 14:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 15:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 16:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 17:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 18:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 19:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 20:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 21:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 22:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/29/2023 23:00,5,25,35,60,25,90.29,0.2,0.26,0.34,0.34
3/30/2023 0:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 1:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 2:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 3:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 4:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 5:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 6:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 7:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 8:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 9:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 10:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 11:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 12:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 13:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 14:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 15:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 16:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 17:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 18:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 19:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 20:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 21:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 22:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/30/2023 23:00,5,25,35,60,25,90.96,0.2,0.26,0.34,0.34
3/31/2023 0:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 1:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 2:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 3:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 4:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 5:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 6:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 7:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 8:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 9:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 10:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 11:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 12:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 13:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 14:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 15:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 16:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 17:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 18:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 19:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 20:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 21:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 22:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
3/31/2023 23:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 0:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 1:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 2:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 3:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 4:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 5:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 6:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 7:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 8:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 9:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 10:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 11:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 12:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 13:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 14:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 15:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 16:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 17:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 18:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 19:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 20:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 21:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 22:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/1/2023 23:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 0:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 1:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 2:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 3:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 4:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 5:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 6:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 7:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 8:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 9:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 10:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 11:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 12:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 13:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 14:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 15:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 16:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 17:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 18:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 19:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 20:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 21:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 22:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/2/2023 23:00,5,25,35,60,25,91.93,0.2,0.26,0.34,0.34
4/3/2023 0:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 1:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 2:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 3:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 4:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 5:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 6:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 7:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 8:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 9:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 10:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 11:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 12:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 13:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 14:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 15:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 16:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 17:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 18:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 19:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 20:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 21:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 22:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/3/2023 23:00,5,25,35,60,25,95.75,0.2,0.26,0.34,0.34
4/4/2023 0:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 1:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 2:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 3:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 4:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 5:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 6:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 7:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 8:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 9:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 10:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 11:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 12:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 13:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 14:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 15:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 16:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 17:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 18:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 19:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 20:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 21:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 22:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/4/2023 23:00,5,25,35,60,25,94.96,0.2,0.26,0.34,0.34
4/5/2023 0:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 1:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 2:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 3:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 4:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 5:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 6:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 7:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 8:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 9:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 10:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 11:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 12:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 13:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 14:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 15:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 16:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 17:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 18:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 19:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 20:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 21:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 22:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/5/2023 23:00,5,25,35,60,25,96.63,0.2,0.26,0.34,0.34
4/6/2023 0:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 1:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 2:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 3:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 4:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 5:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 6:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 7:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 8:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 9:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 10:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 11:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 12:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 13:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 14:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 15:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 16:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 17:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 18:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 19:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 20:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 21:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 22:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/6/2023 23:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 0:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 1:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 2:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 3:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 4:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 5:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 6:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 7:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 8:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 9:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 10:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 11:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 12:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 13:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 14:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 15:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 16:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 17:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 18:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 19:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 20:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 21:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 22:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/7/2023 23:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 0:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 1:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 2:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 3:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 4:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 5:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 6:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 7:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 8:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 9:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 10:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 11:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 12:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 13:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 14:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 15:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 16:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 17:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 18:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 19:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 20:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 21:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 22:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/8/2023 23:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 0:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 1:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 2:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 3:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 4:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 5:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 6:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 7:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 8:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 9:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 10:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 11:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 12:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 13:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 14:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 15:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 16:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 17:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 18:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 19:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 20:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 21:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 22:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/9/2023 23:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 0:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 1:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 2:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 3:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 4:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 5:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 6:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 7:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 8:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 9:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 10:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 11:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 12:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 13:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 14:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 15:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 16:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 17:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 18:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 19:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 20:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 21:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 22:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/10/2023 23:00,5,25,35,60,25,96.66,0.2,0.26,0.34,0.34
4/11/2023 0:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 1:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 2:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 3:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 4:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 5:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 6:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 7:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 8:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 9:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 10:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 11:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 12:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 13:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 14:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
4/11/2023 15:00,5,25,35,60,25,97.44,0.2,0.26,0.34,0.34
